"Date","Price","Open","High","Low","Vol.","Change %"
"12/03/2024","274.15","276.33","276.46","273.93","62.31M","-0.62%"
"12/02/2024","275.87","278.66","278.66","274.71","60.70M","-1.45%"
"11/29/2024","279.92","281.29","282.68","279.77","50.27M","-0.52%"
"11/27/2024","281.37","281.22","283.24","281.20","52.31M","0.63%"
"11/26/2024","279.61","278.20","280.05","276.76","57.37M","0.52%"
"11/25/2024","278.15","276.13","279.15","276.06","119.85M","1.26%"
"11/22/2024","274.70","274.16","275.16","273.50","48.07M","0.68%"
"11/21/2024","272.85","270.68","273.84","270.17","47.20M","0.66%"
"11/20/2024","271.06","270.44","271.60","269.36","54.23M","-0.35%"
"11/19/2024","272.01","269.81","272.68","268.75","55.08M","0.54%"
"11/18/2024","270.54","266.95","270.61","266.91","54.56M","0.74%"
"11/15/2024","268.54","266.90","268.78","265.89","86.83M","0.38%"
"11/14/2024","267.53","269.44","269.44","267.24","68.09M","-0.87%"
"11/13/2024","269.87","270.05","271.88","269.36","63.57M","0.71%"
"11/12/2024","267.96","270.81","271.75","267.89","62.56M","-1.30%"
"11/11/2024","271.49","273.14","274.66","271.26","64.56M","-0.79%"
"11/08/2024","273.66","270.86","274.58","270.49","64.67M","1.62%"
"11/07/2024","269.30","267.02","270.02","266.74","83.01M","1.13%"
"11/06/2024","266.28","270.63","270.63","263.16","130.77M","-2.65%"
"11/05/2024","273.52","268.71","273.52","267.83","53.49M","1.30%"
"11/04/2024","270.00","268.23","270.25","267.77","60.16M","1.12%"
"11/01/2024","267.02","271.16","272.11","266.91","66.45M","-1.13%"
"10/31/2024","270.07","271.81","274.48","270.07","94.57M","-1.79%"
"10/30/2024","274.98","274.61","276.91","274.25","73.48M","0.37%"
"10/29/2024","273.96","275.63","277.02","273.91","67.89M","-0.94%"
"10/28/2024","276.57","277.74","279.22","276.09","58.68M","0.33%"
"10/25/2024","275.66","280.16","281.66","275.51","61.04M","-0.80%"
"10/24/2024","277.89","278.02","279.57","277.43","56.50M","-0.10%"
